"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1923522,"December 31, 2017",Pennsylvania,Philadelphia,"5700 block Leonard St",1,0,N/A,40.001811,-75.11787,0.33,place,,,,,Philadelphia,PA,"Philadelphia County",19101,US,"TIGER/Line® dataset from the US Census Bureau"
1018148,"December 31, 2017",Maryland,Baltimore,"500 block of S Bentalou St",0,0,N/A,39.296536,-76.623489,0.33,place,,,,,Baltimore,MD,"Baltimore City",21201,US,"TIGER/Line® dataset from the US Census Bureau"
1923516,"December 31, 2017",Pennsylvania,Philadelphia,"2200 block of N 33rd St",0,1,N/A,40.001811,-75.11787,0.33,place,,,,,Philadelphia,PA,"Philadelphia County",19101,US,"TIGER/Line® dataset from the US Census Bureau"
1017372,"December 31, 2017",Colorado,"Littleton (Highlands Ranch)","3404 E County Line Rd",2,6,N/A,39.565095,-104.948973,1,rooftop,3404,"E County Line Rd",,,"Highlands Ranch",CO,"Douglas County",80126,US,Arapahoe
1019170,"December 31, 2017",Kansas,Topeka,"1000 block of SW 33rd Terrace",0,0,N/A,38.988075,-95.780662,0.33,place,,,,,Topeka,KS,"Shawnee County",66601,US,"TIGER/Line® dataset from the US Census Bureau"
1017644,"December 31, 2017",Texas,Houston,"14000 block of Park Row",0,1,N/A,29.813142,-95.309789,0.33,place,,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
1019163,"December 31, 2017",Colorado,"Colorado Springs","7000 block of N Academy Blvd",0,1,N/A,38.828893,-104.809929,0.33,place,,,,,"Colorado Springs",CO,"El Paso County",80903,US,"TIGER/Line® dataset from the US Census Bureau"
1018726,"December 31, 2017",Hawaii,Mililani,N/A,0,0,N/A,21.45,-158.001111,0.9,place,,,,,Mililani,HI,"Honolulu County",96789,US,"TIGER/Line® dataset from the US Census Bureau"
1018259,"December 31, 2017",Connecticut,Hartford,"600 block of Blue Hills Ave",0,0,N/A,41.791776,-72.718832,0.33,place,,,,,Hartford,CT,"Hartford County",06102,US,"TIGER/Line® dataset from the US Census Bureau"
1018257,"December 31, 2017","South Carolina",Greenville,"115 Rasor Dr",1,0,N/A,34.896281,-82.417846,1,rooftop,115,"Rasor Dr",,,Greenville,SC,"Greenville County",29617,US,Greenville
1019673,"December 31, 2017",Florida,"Fort Pierce","300 Block of N 31st St",0,0,N/A,27.412128,-80.534169,0.33,place,,,,,"Fort Pierce",FL,"St. Lucie County",34945,US,"TIGER/Line® dataset from the US Census Bureau"
1019128,"December 31, 2017",California,"West Sacramento","1050 W Capitol Ave",3,0,N/A,38.584247,-121.524065,1,rooftop,1050,"W Capitol Ave",,,"West Sacramento",CA,"Yolo County",95605,US,"City of West Sacramento"
1019120,"December 31, 2017",Indiana,Evansville,"1500 Joyce Ave",0,1,N/A,37.956062,-87.506492,1,range_interpolation,1500,"Joyce Ave",,,Evansville,IN,"Vanderburgh County",47714,US,"TIGER/Line® dataset from the US Census Bureau"
